Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Nif11-type precursor [Stigonema sp. PCC 9446],Stigonema sp. PCC 9446,NA,2099385,112,112,98%,9e-30,35.78,117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AVH79558.1?report=genbank&log$=prottop&blast_rank=1&RID=2AYZ3C4E016"",""AVH79558.1"")"
Nif11-type precursor [[Tolypothrix] sp. PCC 7415],[Tolypothrix] sp. PCC 7415,NA,373957,108,108,98%,3e-28,34.55,117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AVH79462.1?report=genbank&log$=prottop&blast_rank=2&RID=2AYZ3C4E016"",""AVH79462.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Nostoc],unclassified Nostoc,NA,2593658,108,108,98%,4e-28,33.64,117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_086760940.1?report=genbank&log$=prottop&blast_rank=3&RID=2AYZ3C4E016"",""WP_086760940.1"")"
Nif11-like leader peptide family RiPP precursor [Tolypothrix sp. PCC 7910],Tolypothrix sp. PCC 7910,NA,2099387,107,107,98%,5e-28,36.36,117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_167721195.1?report=genbank&log$=prottop&blast_rank=4&RID=2AYZ3C4E016"",""WP_167721195.1"")"
Nif11-like leader peptide family RiPP precursor [Calothrix sp. NIES-2098],Calothrix sp. NIES-2098,NA,1954171,107,107,98%,7e-28,33.64,117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_096589591.1?report=genbank&log$=prottop&blast_rank=5&RID=2AYZ3C4E016"",""WP_096589591.1"")"
Nif11-like leader peptide family RiPP precursor [Tolypothrix sp. FACHB-123],Tolypothrix sp. FACHB-123,NA,2692868,106,106,100%,2e-27,33.64,116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190749959.1?report=genbank&log$=prottop&blast_rank=6&RID=2AYZ3C4E016"",""WP_190749959.1"")"
Nif11-type precursor [Nostoc sp. PCC 9448],Nostoc sp. PCC 9448,NA,2099384,106,106,100%,2e-27,32.17,120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AVH79581.1?report=genbank&log$=prottop&blast_rank=7&RID=2AYZ3C4E016"",""AVH79581.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [Calothrix],Calothrix,NA,1186,106,106,98%,2e-27,33.94,116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190546570.1?report=genbank&log$=prottop&blast_rank=8&RID=2AYZ3C4E016"",""WP_190546570.1"")"
Nif11-like leader peptide family RiPP precursor [Calothrix membranacea],Calothrix membranacea,NA,212352,106,106,98%,2e-27,32.11,116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190622238.1?report=genbank&log$=prottop&blast_rank=9&RID=2AYZ3C4E016"",""WP_190622238.1"")"
Nif11-like leader peptide family RiPP precursor [Moorea bouillonii],Moorea bouillonii,NA,207920,105,105,98%,4e-27,33.93,119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_075896114.1?report=genbank&log$=prottop&blast_rank=10&RID=2AYZ3C4E016"",""WP_075896114.1"")"
